Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Shopping,Chrome 121.0.0.0,,,2024-02-12 09:11:59,2024-02-12 09:17:23,5m - 24.205s,PASSED
,,,,,,,
Test Cases/Final Project - Website/Positive Test/Shopping/checkout_test,Chrome 121.0.0.0,,,2024-02-12 09:11:59,2024-02-12 09:13:01,1m - 2.369s,PASSED
website.Browser.openBrowser(website_url),Chrome 121.0.0.0,,,2024-02-12 09:12:00,2024-02-12 09:12:10,10.930s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/btn_account""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:10,2024-02-12 09:12:11,0.817s,PASSED
delay(10),Chrome 121.0.0.0,,,2024-02-12 09:12:11,2024-02-12 09:12:21,10.024s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_account""))",Chrome 121.0.0.0,,,2024-02-12 09:12:21,2024-02-12 09:12:22,0.479s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_username""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:22,2024-02-12 09:12:23,0.744s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_username""), username)",Chrome 121.0.0.0,,,2024-02-12 09:12:23,2024-02-12 09:12:23,0.762s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/input_login_password""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:23,2024-02-12 09:12:24,1.152s,PASSED
"setText(findTestObject(""Object Repository/User Management Objects/input_login_password""), password)",Chrome 121.0.0.0,,,2024-02-12 09:12:24,2024-02-12 09:12:25,0.747s,PASSED
"check(findTestObject(""Object Repository/User Management Objects/checkbox_login_remember_me""))",Chrome 121.0.0.0,,,2024-02-12 09:12:25,2024-02-12 09:12:26,0.589s,PASSED
"click(findTestObject(""Object Repository/User Management Objects/btn_signin""))",Chrome 121.0.0.0,,,2024-02-12 09:12:26,2024-02-12 09:12:26,0.623s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/User Management Objects/span_user_name""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:26,2024-02-12 09:12:27,1.078s,PASSED
"displayedUsername = getText(findTestObject(""Object Repository/User Management Objects/span_user_name""))",Chrome 121.0.0.0,,,2024-02-12 09:12:27,2024-02-12 09:12:28,0.407s,PASSED
"assert displayedUsername.equalsIgnoreCase(username) : ""Username false!""",Chrome 121.0.0.0,,,2024-02-12 09:12:28,2024-02-12 09:12:28,0.024s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/img_item_speaker""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:28,2024-02-12 09:12:28,0.534s,PASSED
"click(findTestObject(""Object Repository/Shopping/img_item_speaker""))",Chrome 121.0.0.0,,,2024-02-12 09:12:28,2024-02-12 09:12:29,0.386s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_buy_now""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:29,2024-02-12 09:12:31,2.679s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_buy_now""))",Chrome 121.0.0.0,,,2024-02-12 09:12:31,2024-02-12 09:12:32,0.417s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_add_to_cart""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:32,2024-02-12 09:12:42,10.113s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_add_to_cart""))",Chrome 121.0.0.0,,,2024-02-12 09:12:42,2024-02-12 09:12:42,0.403s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_shopping_cart""))",Chrome 121.0.0.0,,,2024-02-12 09:12:42,2024-02-12 09:12:44,2.052s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_checkout""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:44,2024-02-12 09:12:46,1.646s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_checkout""))",Chrome 121.0.0.0,,,2024-02-12 09:12:46,2024-02-12 09:12:47,0.474s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Shopping/btn_next""), 10)",Chrome 121.0.0.0,,,2024-02-12 09:12:47,2024-02-12 09:12:50,3.635s,PASSED
"click(findTestObject(""Object Repository/Shopping/btn_next""))",Chrome 121.0.0.0,,,2024-02-12 09:12:50,2024-02-12 09:12:51,0.526s,PASSED
"assert payment_method.equalsIgnoreCase(""safepay"") || payment_method.equalsIgnoreCase(""mastercredit"") : ""Change Payment Method!""",Chrome 121.0.0.0,,,2024-02-12 09:12:51,2024-02-12 09:12:51,0.019s,PASSED
"if (payment_method.equalsIgnoreCase(""safepay""))",Chrome 121.0.0.0,,,2024-02-12 09:12:51,2024-02-12 09:12:51,0.000s,PASSED
